MOVIES,Year,RATING,VOTES,RunTime,Gross_Clean,GENRE,ONE-LINE,Director_Clean,Stars_Clean,Type,Status
Annyeong? Naya!,2021.0,7.2,344.0,65.0,NaN,"Comedy, Fantasy, Romance","Miserable and unsuccessful, a woman thinks she's lost all her spark, until one day, her spunky younger self appears in front of her demanding change.",NaN,"Kang-hee Choi, Kim Young-kwang, Re Lee, Eum Moon Suk",Series,Ongoing
Anon,2018.0,6.1,40017.0,100.0,NaN,"Crime, Sci-Fi, Thriller","In a world without anonymity or crime, a detective meets a woman who threatens their security.",Andrew Niccol,"Clive Owen, Afiya Bennett, Morgan Allen, Jeffrey Men",Movie,Released
Another Life,2019.0,5.0,25983.0,43.0,NaN,"Adventure, Drama, Mystery",Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,NaN,"Katee Sackhoff, JayR Tinaco, Elizabeth Faith Ludlow, Blu Hunt",Series,Ongoing
Another Self,NaN,NaN,0.0,NaN,NaN,Drama,NaN,NaN,"Serkan Altunorak, Seda Bakan, Murat Boz, Tuba Büyüküstün",Movie,Released
Answer for Heaven,2019.0,5.9,9.0,NaN,NaN,Drama,"The humans on Earth, aren't doing enough good actions. Tep is an angel, who descends from heaven to learn why. In Bangkok he finds Ad a journalist that helps him. Ad works for a news station and helps the police investigate various crimes.",NaN,,Series,Ongoing
Anthony Jeselnik: Fire in the Maternity Ward,2019.0,7.2,3157.0,64.0,NaN,Comedy,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",Marcus Raboy,Anthony Jeselnik,Movie,Released
Anthony Jeselnik: Thoughts and Prayers,2015.0,7.8,4734.0,59.0,NaN,Comedy,Stand up comedian and former Late Night with Jimmy Fallon writer Anthony Jeselnik brings his dark humor and wit to San Francisco.,Adam Dubin,"Anthony Jeselnik, Peggy",Movie,Released
Anthony Joshua: The Road to Klitschko,2017.0,7.2,433.0,59.0,NaN,"Documentary, Biography, Sport","Follows the IBF World Heavyweight champion over the course of two years as he prepares for the biggest fight of his career, how he rose to the pinnacle of his sport and how he relaxes away from the ring.",Tim MacKenzie-Smith,"Noel Clarke, Anthony Joshua",Movie,Released
Antiracist Baby,NaN,NaN,0.0,NaN,NaN,Short,NaN,NaN,,Movie,Released
Antoine Griezmann: The Making of a Legend,2019.0,6.5,1019.0,60.0,NaN,"Documentary, Biography, Sport","With heart and determination, Antoine Griezmann overcame his small stature to become one of the world's top soccer players and a World Cup champion.",NaN,,Movie,Released
