MOVIES,Year,RATING,VOTES,RunTime,Gross_Clean,GENRE,ONE-LINE,Director_Clean,Stars_Clean,Type,Status
#AnneFrank - Parallel Stories,2019.0,6.5,1296.0,92.0,NaN,"Drama, History","It is based on five women who did survive the Holocaust but shared her same fate of ""deportation, suffering and being denied their childhood and adolescence,"" according to promotional materials.","Sabina Fedeli, Anna Migotto","Helen Mirren, Anne Frank, Martina Gatti, Arianna Szorenyi",Movie,Released
#BlackAF,2020.0,6.8,4200.0,36.0,NaN,Comedy,A father takes an irreverent and honest approach to parenting and relationships.,NaN,"Rashida Jones, Kenya Barris, Iman Benson, Genneya Walton",Movie,Released
#HappyBirthdaySense8,2017.0,8.9,828.0,15.0,NaN,Short,NaN,Josh Oreck,"Freema Agyeman, Jamie Clayton, Tina Desai, Bae Doona",Movie,Released
#Realityhigh,2017.0,5.2,5947.0,99.0,NaN,"Comedy, Drama, Romance","High-achieving high-school senior Dani Barnes dreams of getting into UC Davis, the world's top veterinary school. Then a glamorous new friend draws her into a Southern California scene that threatens everything she's worked for.",Fernando Lebrija,"Nesta Cooper, Keith Powers, Alicia Sanz, Jake Borelli",Movie,Released
#Rucker50,2016.0,5.2,105.0,56.0,NaN,Documentary,NaN,Robert McCullough Jr.,Inez Dickens,Movie,Released
#Saraitda,2020.0,6.3,30530.0,98.0,NaN,"Action, Drama, Horror","The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",Il Cho,"Yoo Ah-in, Park Shin-Hye, Jeon Bae-soo, Hyun-Wook Lee",Movie,Released
#TemanTapiMenikah,2018.0,6.9,602.0,102.0,NaN,"Biography, Comedy, Drama","Ayudia (Vanesha Prescilla) and Ditto (Adipati Dolken) have been best friends for 12 years. And for all those times, Ditto has been secretly in love with her. Until one day, Ayudia told him that she's gonna get married.",Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Refal Hady, Denira Wiraguna",Movie,Released
#TemanTapiMenikah2,2020.0,6.9,241.0,100.0,NaN,"Biography, Comedy, Drama","Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",Rako Prijanto,"Adipati Dolken, Mawar Eva de Jongh, Vonny Cornellya, Sari Nila",Movie,Released
#cats_the_mewvie,2020.0,5.3,439.0,90.0,NaN,Documentary,It's a 2020 documentary about how cats went from cute text memes to iconic celebrities on YouTube.,Michael Margolis,"Kevin Allocca, Phaedra Barratt, Amanda Brennan, Mike Bridavsky",Movie,Released
#differentnotless,2017.0,NaN,0.0,30.0,NaN,Drama,"The life and experiences of three close friends, one gay, one straight, and one autistic.",NaN,,Series,Ongoing
'76,2016.0,7.2,58.0,118.0,NaN,"Drama, Romance","The story is told from two points of view: that of a young pregnant woman, and that of her husband, a soldier accused of being involved in the 1976 military coup and assassination of General Murtala Mohammed, the Head-of-State of Nigeria.",Izu Ojukwu,"Efetobore Afatakpa, Tunde Alabi, Bisi Ariyo, Preach Bassey",Movie,Released
(Un)Well,2020.0,6.4,901.0,NaN,NaN,Documentary,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",NaN,Jennifer Julian,Series,Ongoing
1 Chance 2 Dance,2014.0,4.8,544.0,89.0,NaN,"Drama, Family",NaN,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu",Movie,Released
"1,000,000 yen no Onnatachi",2017.0,7.5,1636.0,30.0,NaN,"Comedy, Drama, Mystery","A frustrated writer has 5 mysterious women turn up at his house, all seemingly invited and all must adhere to strict rules, they all pay him a million yen as rent. Who is responsible for the invites?",NaN,"Yôjirô Noda, Rila Fukushima, Rena Matsui, Miwako Wagatsuma",Movie,Released
10 000 timmar,2014.0,4.4,953.0,94.0,NaN,Comedy,"When he wins the lottery, an ordinary guy quits his job to pursue his dream of becoming a pro soccer player by devoting 10,000 hours to training.",Joachim Hedén,"Peter Magnusson, Karin Lithman, Özz Nûjen, Mathilda von Essen",Movie,Released
10 Days in Sun City,2017.0,5.1,58.0,87.0,NaN,"Adventure, Comedy, Romance","A globetrotting traveler, Akpos, brings his girlfriend to the land of South Africa in this adventure.",Adze Ugah,"Gbenro Ajibade, Ali Baba, Fathia Balogun, Jaun de Jager",Movie,Released
100 Humans,2020.0,5.7,3456.0,NaN,NaN,Reality-TV,"A social experiment where 100 individuals will be a part of interactive experiments exploring sex, happiness, torture and all the other aspects of being human.",NaN,"Komalpreet Kaur Batth, Haley Bockrath, Dylan George, Braxton Hale",Series,Ongoing
100 días para enamorarnos,2020.0,6.9,645.0,NaN,NaN,Comedy,"Two couples who struggle to be near each other decide to give another chance for each other, 100 days for them to fall back in love.",NaN,"Ilse Salas, Mariana Treviño, Erick Elias, David Chocarro",Series,Ongoing
100 metros,2016.0,7.5,5856.0,108.0,NaN,"Biography, Comedy, Drama","Based on true events, a Spanish man with multiple sclerosis who tried to finish an Iron-Man competition despite he was told that he could not make 100 meters.",Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer",Movie,Released
100% Coco,2017.0,4.7,838.0,88.0,NaN,Drama,"A quirky 13-year-old girl dreams of becoming a style icon and anonymously starts her own fashion vlog called the Style Tiger. As the vlog becomes a big hit, Coco gets the chance to chase her dreams in Paris.",Tessa Schram,"Nola Kemper, Valentijn Avé, Merel de Zwart, Firy Beuk",Movie,Released
100% Hotter,2016.0,4.4,864.0,60.0,NaN,Reality-TV,"A make-under rather than a make-over show, targeting people whose style is so in your face you cannot help stop and stare while their family and friends squirm with embarrassment.",NaN,"Daniel Palmer, Melissa Sophia, Karen Williams, Zoe Hardman",Series,Ongoing
100-man no Inochi no Ue ni Ore wa Tatte Iru,2020.0,6.4,439.0,23.0,NaN,"Animation, Action, Adventure",NaN,NaN,"Tara Sands, Makoto Koichi, Risa Kubota, Yûto Uemura",Series,Ongoing
101 Dalmatians,1996.0,5.7,106580.0,NaN,136190000.0,"Adventure, Comedy, Crime","An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",Stephen Herek,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright",Movie,Released
12 Monkeys,2015.0,7.7,42021.0,42.0,NaN,"Adventure, Drama, Mystery",Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,NaN,"Aaron Stanford, Amanda Schull, Noah Bean, Barbara Sukowa",Series,Ended
12 Rounds 3: Lockdown,2015.0,5.2,4021.0,90.0,NaN,"Action, Crime, Thriller","Upon returning to work after recovering from an injury, a police officer discovers and attempts to turn in incriminating evidence of illegal activities against his fellow cops.",Stephen Reynolds,"Jonathan Good, Roger Cross, Daniel Cudmore, Lochlyn Munro",Movie,Released
127 Hours,2010.0,7.5,357144.0,94.0,18340000.0,"Biography, Drama","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",Movie,Released
13 Geboden,2017.0,7.0,2093.0,46.0,NaN,"Crime, Mystery, Thriller",A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,NaN,"Dirk van Dijck, Marie Vinck, Karlijn Sileghem, Line Pillet",Series,Ended
13 Minutes,NaN,NaN,0.0,NaN,NaN,"Drama, Thriller",Unusual events begin to occur for a high school student after she is revived from being unconscious in a frozen lake for 13 minutes.,NaN,Jimmy Waitman,Movie,Released
13 Reasons Why,2017.0,6.27,25756.55,62.55,NaN,"Drama, Mystery, Thriller","After an incident at school, Clay thinks someone's trying to set him up. Zach and Clay land in hot water during a college tour.",Russell Mulcahy,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Series,Ended
13 Reasons Why: Season 2 Date Announcement Commercial,2018.0,7.2,197.0,1.0,NaN,"Short, Drama",NaN,Greg Jardin,"Alisha Boe, Tommy Dorfman, Katherine Langford, Derek Luke",Movie,Released
13: The Musical,NaN,NaN,0.0,NaN,NaN,"Comedy, Family, Musical",A Bar Mitzvah boy from Manhattan comes to terms with his family's move to the Midwest.,Tamra Davis,"Josh Peck, Rhea Perlman, Peter Hermann, Debra Messing",Movie,Released
13th,2016.0,8.2,33496.0,100.0,NaN,"Documentary, Crime, History",An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,Ava DuVernay,"Melina Abdullah, Michelle Alexander, Cory Booker, Dolores Canales",Movie,Released
13th: A Conversation with Oprah Winfrey & Ava DuVernay,2017.0,7.1,193.0,37.0,NaN,"Documentary, Short",Oprah Winfrey sits down with other to discuss social and cultural issues.,NaN,"Oprah Winfrey, Ava DuVernay",Movie,Released
15 August,2019.0,5.9,245.0,124.0,NaN,Drama,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",Swapnaneel Jaykar,"Abhishek Deshmukh, Mrunmayee Deshpande, Namrata Kadam, Addinath Kothare",Movie,Released
17 filles,2011.0,6.0,3140.0,86.0,20000.0,Drama,"When a rebellious teenager finds out that she is already eight weeks pregnant, she forms a pact with sixteen of her classmates to get pregnant simultaneously, raise their children together, and most of all, be in charge of their lives.","Delphine Coulin, Muriel Coulin","Louise Grinberg, Juliette Darche, Roxane Duran, Esther Garrel",Movie,Released
18 regali,2020.0,6.7,3312.0,115.0,NaN,Drama,"Inspired by the extraordinary story of Elisa Girotto, the woman who moved the world by leaving 18 birthday gifts for her daughter when she discovered that she would have little time with her.",Francesco Amato,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro",Movie,Released
1898. Los últimos de Filipinas,2016.0,6.5,3074.0,105.0,NaN,"Drama, History, War",A soldiers trapped inside a church as last refugee. A fight that no one couldn't win. A war that no one wanted to lose.,Salvador Calvo,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde",Movie,Released
1899,2022.0,NaN,0.0,NaN,NaN,"Drama, History, Horror",Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,Baran bo Odar,,Series,Ongoing
1920,2008.0,6.4,3183.0,138.0,NaN,"Horror, Mystery, Romance","After forsaking his family and religion, a husband finds his wife is demoniacally possessed.",Vikram Bhatt,"Rajniesh Duggall, Adah Sharma, Anjori Alagh, Raj Zutshi",Movie,Released
1920 London,2016.0,4.1,1599.0,120.0,NaN,"Horror, Mystery","After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.",Dharmendra Suresh Desai,"Sharman Joshi, Meera Chopra, Vishal Karwal, Surendra Pal",Movie,Released
1922,2017.0,6.3,56699.0,102.0,NaN,"Crime, Drama, Horror","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard",Movie,Released
1983,2018.0,6.8,3882.0,60.0,NaN,"Crime, Drama, Thriller","Decades after a 1983 terrorist attack, a law student and a cop uncover a conspiracy that's kept Poland as a police state and the Iron Curtain standing.",NaN,"Robert Wieckiewicz, Maciej Musial, Michalina Olszanska, Andrzej Chyra",Movie,Released
1994,2019.0,7.6,442.0,NaN,NaN,"Documentary, History","Archival video and new interviews provide an investigative look at Mexican politics in 1994, a year marked by the assassination of Luis Donaldo Colosio.",NaN,"Rafael Sebastián Guillén Vicente, Carlos Salinas de Gortari",Series,Ongoing
"1994: Poder, Rebeldía y Crimen en México",2019.0,8.7,17.0,NaN,NaN,Documentary,"1994 looks at a convoluted period in recent Mexican history, including the assassination of Luis Donaldo Colosio, the raising of the Zapatist Liberation Army, and the end of the rule of Carlos Salinas.",NaN,,Movie,Released
2 Weeks,2013.0,8.1,628.0,65.0,NaN,"Crime, Drama",NaN,NaN,"Lee Joon-Gi, Ha-seon Park, Soo-young Ryu, Kim So-yeon",Movie,Released
2001: A Space Odyssey,1968.0,8.3,622998.0,149.0,56950000.0,"Adventure, Sci-Fi","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",Movie,Released
2006 Independent Spirit Awards,2006.0,6.6,83.0,109.0,NaN,nan,NaN,Chris Donovan,"Sarah Silverman, Hany Abu-Assad, Amy Adams, Shohreh Aghdashloo",Movie,Released
2020 Golden Globe Awards,2020.0,7.2,703.0,134.0,NaN,Comedy,Comedian Ricky Gervais brutally roasts Hollywood and exposes their hypocrisy.,Louis J. Horvitz,"Ricky Gervais, Jennifer Aniston, Reese Witherspoon, Michael Douglas",Movie,Released
2067,2020.0,4.9,6977.0,114.0,NaN,Sci-Fi,One man's journey to the future to save a dying world.,Seth Larney,"Aaron Glenane, Kodi Smit-McPhee, Ryan Kwanten, Finn Little",Movie,Released
21 Days Under the Sky,2016.0,6.7,252.0,70.0,NaN,Documentary,"4 bikers pull an ""Easy rider"". How it used to be or at least how it was for me.",Michael Schmidt,"Troy Critchlow, Gentry Dayton, Tom Fugle, Ryan Grossman",Movie,Released
21 Sarfarosh Saragarhi 1897,2018.0,8.2,364.0,18.0,NaN,War,A chronicle of the lives and events that led to the brave and epic last stand of the 21 soldiers of the 36th Sikh regiment of the British Indian Army against thousands of Afghani invaders in the September of 1897.,NaN,"Harry Chauhan, Paras Raajj Ganndhhi, Sooraj Ohri, Mohit Raina",Series,Ongoing
21 Thunder,2017.0,6.2,979.0,60.0,NaN,Drama,NaN,NaN,"Stephanie Bennett, Emmanuel Kabongo, Andres Joseph, Kevin Claydon",Series,Ongoing
22 July,2018.0,6.8,30905.0,143.0,NaN,"Crime, Drama, History","A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.",Paul Greengrass,"Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden, Maria Bock",Movie,Released
22nd Annual Mark Twain Prize for American Humor celebrating: Dave Chappelle,2020.0,7.5,1715.0,90.0,NaN,Comedy,NaN,Chris Robinson,"Dave Chappelle, Mohammed Amer, Aziz Ansari, Erykah Badu",Movie,Released
23:59,2011.0,4.6,903.0,78.0,NaN,Horror,"An army recruit was found dead during a 24km road march. After the death of the recruit, strange things started to happen, haunting all the soldiers in the barracks.",Gilbert Chan,"Tedd Chan, Stella Chung, Philip Hersh, Henley Hii",Movie,Released
26 nyeon,2012.0,6.3,1054.0,135.0,NaN,"Drama, Thriller",NaN,Geun-hyun Cho,"Jin Goo, Hye-jin Han, Soo-bin Bae, Seul-ong Im",Movie,Released
2:22,2008.0,5.2,1361.0,104.0,NaN,"Crime, Drama, Thriller","The plan was easy; the job was not. On a snowy night a tight crew of four criminals plan to pull off a routine heist. When things go horribly wrong, friendship, loyalty and trust are pushed to the limit.",Phillip Guzman,"Mick Rossi, Robert Miano, Aaron Gallagher, Jorge A. Jimenez",Movie,Released
2gether,2020.0,7.9,1276.0,50.0,NaN,"Comedy, Drama, Romance","A student named Tine wants to get rid of a gay admirer. His friends recommend getting a pretend boyfriend, Sarawat, who plays hard to get until he finally agrees. The two become close and intense emotions soon erupted.",NaN,"Vachirawit Chivaaree, Metawin Opas-Iamkajorn, Chinnarat Siriphongchawalit, Sivakorn Lertchoochot",Movie,Released
3 Geezers!,2013.0,3.3,726.0,81.0,NaN,Comedy,NaN,Michelle Schumacher,"J.K. Simmons, Tim Allen, Scott Caan, Basil Hoffman",Movie,Released
3 Türken & ein Baby,2015.0,5.5,1646.0,95.0,NaN,Comedy,NaN,Sinan Akkus,"Kida Khodr Ramadan, Eko Fresh, Kostja Ullmann, Sabrina Klüber",Movie,Released
3%,2016.0,7.4,22943.0,49.0,NaN,"Action, Drama, Sci-Fi","A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.",NaN,"Bianca Comparato, Vaneza Oliveira, Rodolfo Valente, Zezé Motta",Series,Ended
300,2006.0,7.6,751815.0,117.0,210610000.0,"Action, Drama",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West",Movie,Released
300: Rise of an Empire,2014.0,6.2,286734.0,102.0,106580000.0,"Action, Drama","Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",Movie,Released
365 dni,2020.0,3.3,63620.0,114.0,NaN,"Drama, Romance","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Barbara Bialowas, Tomasz Mandes","Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze",Movie,Released
37 sekanzu,2019.0,7.3,2345.0,115.0,NaN,Drama,"Yuma is a young Japanese woman who suffers from cerebral palsy. Torn between her obligations towards her family and her dream to become a manga artist, she struggles to lead a self-determined life.",Hikari,"Nanami Kawakami, Makiko Watanabe, Mei Kayama, Shizuka Ishibashi",Movie,Released
3Below: Tales of Arcadia,2018.0,7.93,460.53,20.71,NaN,"Animation, Action, Adventure","With General Morando's invasion of Earth imminent, Krel tries to stop the fleet's advance with unwitting help from the kids of Arcadia.",Elaine Bogan,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close",Series,Ended
3rd Rock from the Sun,1996.0,7.7,48780.0,60.0,NaN,"Comedy, Family, Sci-Fi","A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.",NaN,"John Lithgow, Jane Curtin, Kristen Johnston, French Stewart",Series,Ended
4 latas,2019.0,5.9,2903.0,105.0,NaN,"Comedy, Drama","Tocho, Jean Pierre and Ely travel from Spain to Mali to meet Ely's dying father for the last time.",Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos",Movie,Released
42 días en la oscuridad,NaN,NaN,0.0,NaN,NaN,"Crime, Drama, Mystery","A Woman's Struggle to Find the Whereabouts of her Missing Sister. This Will Have to Fight Against the Negligence of the Institutions, The Prejudices of Loneliness and The Harassment of the Media.",NaN,"Aline Küppenheim, Claudia Di Girólamo, Gloria Münchmeyer",Movie,Released
44 Gatti,2018.0,6.1,238.0,13.0,NaN,"Animation, Adventure, Comedy","44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.",NaN,"Judith Cabral, Sarah Natochenny, Keira Johnson, Joy Salaretti",Series,Ongoing
45 Revoluciones,2019.0,7.3,426.0,50.0,NaN,"Drama, Music",The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.,NaN,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde",Movie,Released
46 Yok Olan,2016.0,8.4,4079.0,60.0,NaN,"Action, Crime, Drama",A genetic professor (Murat Güney) wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.,NaN,"Erdal Besikçioglu, Yasemin Kay Allen, Melis Birkan, Saygin Soysal",Movie,Released
50M2,2021.0,7.27,620.89,48.56,NaN,"Comedy, Drama, Thriller",Underground boss Azrail approaches Shadow about a missing package. Özlem knocks on Mesut's door. Servet struggles with guilt.,Burak Aksak,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Series,Ongoing
6 Balloons,2018.0,5.9,3865.0,74.0,NaN,Drama,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.,Marja-Lewis Ryan,"Abbi Jacobson, Dave Franco, Charlotte Carel, Madeline Carel",Movie,Released
6 Below: Miracle on the Mountain,2017.0,5.7,6916.0,98.0,NaN,"Biography, Drama, Sport","An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival....""",Scott Waugh,"Josh Hartnett, Mira Sorvino, Sarah Dumont, Kale Culley",Movie,Released
6 Days,2017.0,6.2,19869.0,94.0,NaN,"Action, Drama, History","Based on the Iranian Embassy siege of 1980, this action-thriller dramatizes a six-day standoff between armed Iranian Arabs and SAS soldiers ready for a counterattack.",Toa Fraser,"Jamie Bell, Mark Strong, Abbie Cornish, Martin Shaw",Movie,Released
6 Underground,2019.0,6.1,150455.0,128.0,NaN,"Action, Thriller","Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy",Movie,Released
6 Years,2015.0,5.6,12049.0,79.0,NaN,"Drama, Romance","A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard",Movie,Released
6-5=2,2014.0,4.3,182.0,104.0,NaN,Horror,"Six friends decide to undertake a gruelling mountain trek, only to find that the difficulties in store for them are not merely physical. They experience strange and unusual incidents which put their lives at risk.",Bharat Jain,"Prashantt Guptha, Gaurav Paswala, Gaurav Kothari, Disha Kapoor",Movie,Released
"60 Il, Jijeongsaengjonja",2019.0,8.1,910.0,70.0,NaN,"Drama, Thriller","When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos.",NaN,"Jin-hee Ji, Joon-ho Huh, Kang Han-na, Lee Joon-hyuk",Movie,Released
7 Chinese Brothers,2015.0,5.6,1490.0,76.0,NaN,Comedy,"Sharing a small apartment with his sleepy French bulldog, an unmotivated thirty-something slacker lands a job at a Quick Lube to be close to the shop's beautiful manager. Has he found a new purpose in life? Is there still hope?",Bob Byington,"Jason Schwartzman, Olympia Dukakis, Tunde Adebimpe, Eleanore Pienta",Movie,Released
7 Days Out,2018.0,6.8,471.0,48.0,NaN,Documentary,A series that documents behind the scenes of some of the largest events in the world.,NaN,"Frank Bruni, Emmy, Kevin Flanery, Matthew Haag",Series,Ongoing
7 Guardians of the Tomb,2018.0,4.5,3681.0,90.0,NaN,"Action, Adventure, Horror","An innocent discovery of a well-preserved mummified Chinese Emperor from 200 B.C. unearths a two-thousand-year-old nightmare, a secret that should have remained buried.",Kimble Rendall,"Bingbing Li, Kellan Lutz, Kelsey Grammer, Chun Wu",Movie,Released
7 Ilui Wangbi,2017.0,7.8,388.0,NaN,NaN,"Drama, Romance",NaN,NaN,"Hyun-Sung Jang, Do Ji-Won, Dong-geon Lee, Eun-seo Son",Movie,Released
7 Prisioneiros,2021.0,NaN,0.0,90.0,NaN,Drama,"To provide a better life for his family, 18-year-old Mateus accepts a job in a junkyard São Paulo, where he and a few other boys become trapped in the dangerous world of human trafficking.",Alexandre Moratto,"Rodrigo Santoro, Christian Malheiros, Lucas Oranmian",Movie,Released
7 años,2016.0,6.8,4660.0,77.0,NaN,Drama,Four friends face an agonizing decision. One must go to prison. The other three must make the sacrifice worthwhile.,Roger Gual,"Juana Acosta, Alex Brendemühl, Paco León, Manuel Morón",Movie,Released
71st Golden Globe Awards,2014.0,7.2,888.0,NaN,NaN,News,The Hollywood Foreign Press Association's 71 annual event honoring excellence in film and television.,Louis J. Horvitz,"Tina Fey, Amy Poehler, Jennifer Lawrence, Jacqueline Bisset",Movie,Released
72 Dangerous Animals - Asia,2018.0,6.6,455.0,NaN,NaN,Documentary,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",NaN,"Bob Brisbane, Bryan Grieg Fry, Romulus Whitaker, Paul Rosolie",Series,Ongoing
72 Dangerous Animals: Latin America,2017.0,6.6,475.0,NaN,NaN,Documentary,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",NaN,"Bob Brisbane, Rui Seabra Ferreira Jr., Vidal Haddad Jr., Justin Schmidt",Movie,Released
7:19,2016.0,5.9,605.0,94.0,NaN,"Drama, History",Based on true events about the earthquake of Mexico in 1985 who claimed the lives of more than 40.000 people.,Jorge Michel Grau,"Carmen Beato, Demián Bichir, Héctor Bonilla, Octavio Michel",Movie,Released
7Seeds,2019.0,7.08,77.38,24.71,NaN,"Animation, Action, Adventure","The two newcomers help Team Summer B. As they get to know the group, Ryo doubts their ability to survive. Ango begins to see Natsu as Shigeru.",NaN,"Morgan Berry, Clint Bickham, Justin Doran, Patricia Duran",Series,Ended
800 metros,2021.0,NaN,0.0,NaN,NaN,Documentary,"On Aug. 17, 2017, Spain suffers two terrorist attacks perpetrated by young people integrated into Spanish society. How could something like this happen?",León Siminiani,,Series,Ongoing
8:46,2020.0,8.1,2042.0,27.0,NaN,"Short, Comedy",Dave Chappelle addresses George Floyd's death and racial injustice in a stand-up special filmed in Ohio.,"Steven Bognar, Julia Reichert",Dave Chappelle,Movie,Released
9 Kere Leyla,2020.0,3.7,7092.0,112.0,NaN,Comedy,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.",Ezel Akay,"Haluk Bilginer, Demet Akbag, Elçin Sangu, Firat Tanis",Movie,Released
A 3 Minute Hug,2019.0,6.6,202.0,28.0,NaN,"Documentary, Short","How would you feel if you had no more than three minutes to hug your parents, nieces, and nephew of grandparents after more than a decade apart?",Everardo González,,Movie,Released
A Babysitter's Guide to Monster Hunting,2020.0,5.4,3434.0,98.0,NaN,"Comedy, Family, Fantasy",A babysitter embarks on a mission to save a child who's been abducted by monsters.,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson",Movie,Released
A Boy Called Christmas,2021.0,NaN,0.0,NaN,NaN,"Adventure, Drama, Family",NaN,Gil Kenan,"Kristen Wiig, Maggie Smith, Michiel Huisman, Stephen Merchant",Movie,Released
A California Christmas,2020.0,5.8,6943.0,106.0,NaN,"Comedy, Drama, Romance","With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas.",Shaun Paul Piccinino,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio",Movie,Released
A Castle for Christmas,2021.0,NaN,0.0,NaN,NaN,"Adventure, Comedy, Family","A famed American author, Sophie, who travels to Scotland and finds herself wanting to buy a castle, but the prickly owner, a Scottish Duke named Myles, is reluctant to sell to a foreigner.",Mary Lambert,"Brooke Shields, Cary Elwes, Suanne Braun, Lee Ross",Movie,Released
A Chorus Line,NaN,NaN,0.0,NaN,NaN,"Drama, Musical","Centered on seventeen Broadway dancers auditioning for spots on a chorus line, set on the bare stage of a Broadway theatre during an audition for a musical. Based on the Broadway musical.",NaN,,Movie,Released
A Christmas Prince,2017.0,5.8,17515.0,92.0,NaN,"Comedy, Family, Romance","When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",Movie,Released
A Christmas Prince: The Royal Baby,2019.0,5.4,5594.0,84.0,NaN,"Family, Romance","It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",Movie,Released
A Christmas Prince: The Royal Wedding,2018.0,5.3,9527.0,92.0,NaN,"Drama, Romance","A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",Movie,Released
